File,Positive,Negative,Neutral
10185newsML_annotated,1.0,1.0,0.0
10186newsML_annotated,0.25,1.0,0.0
File,Positive,Negative,Neutral
10185newsML_annotated,1.0,1.0,0.0
10186newsML_annotated,0.25,1.0,0.0
File,Positive,Negative,Neutral
10185newsML_annotated,1.0,1.0,0.0
10186newsML_annotated,0.25,1.0,0.0
10188newsML_annotated,0.2,1.0,0.0
10189newsML_annotated,1.0,1.0,0.0
10190newsML_annotated,0.0,1.0,0.0
10191newsML_annotated,0.0,1.0,0.0
10193newsML_annotated,0.0,1.0,0.0
10194newsML_annotated,0.0,1.0,0.0
10195newsML_annotated,0.0,1.0,0.0
10198newsML_annotated,0.0,1.0,1.0
10202newsML_annotated,0.0,1.0,0.2
10203newsML_annotated,0.0,1.0,0.0
10204newsML_annotated,1.0,0.3333333333333333,0.3333333333333333
10206newsML_annotated,0.25,1.0,0.25
10207newsML_annotated,0.0,1.0,0.2
10208newsML_annotated,0.0,1.0,0.2
10210newsML_annotated,0.0,1.0,0.2
10211newsML_annotated,0.0,1.0,0.25
10212newsML_annotated,0.0,1.0,0.25
10214newsML_annotated,0.0,1.0,1.0
10216newsML_annotated,0.0,1.0,0.2
10218newsML_annotated,0.25,1.0,0.0
10221newsML_annotated,0.0,1.0,0.0
10222newsML_annotated,0.0,1.0,0.0
10224newsML_annotated,0.25,1.0,0.25
10226newsML_annotated,0.0,1.0,0.0
10227newsML_annotated,0.2,1.0,0.2
10228newsML_annotated,0.0,1.0,0.0
10229newsML_annotated,0.5,1.0,0.0
10230newsML_annotated,0.5,1.0,0.0
10231newsML_annotated,0.2,1.0,0.0
10233newsML_annotated,0.0,1.0,0.0
10234newsML_annotated,0.2,1.0,0.0
10235newsML_annotated,0.0,1.0,0.0
10236newsML_annotated,0.0,1.0,0.2
10238newsML_annotated,0.0,1.0,0.5
10240newsML_annotated,0.25,1.0,0.5
10242newsML_annotated,0.5,1.0,0.0
10243newsML_annotated,0.0,1.0,0.0
10244newsML_annotated,0.0,1.0,0.0
12536newsML_annotated,0.5,1.0,0.0
12537newsML_annotated,0.0,1.0,0.5
12538newsML_annotated,0.0,1.0,0.5
12541newsML_annotated,0.2,1.0,0.0
12542newsML_annotated,0.3333333333333333,1.0,0.3333333333333333
12543newsML_annotated,0.2,1.0,0.0
12545newsML_annotated,0.0,1.0,0.0
12547newsML_annotated,0.0,1.0,0.0
12549newsML_annotated,0.25,1.0,0.25
12550newsML_annotated,0.0,1.0,0.0
12552newsML_annotated,0.0,1.0,0.0
12554newsML_annotated,0.3333333333333333,1.0,0.6666666666666666
12555newsML_annotated,0.0,1.0,0.0
12556newsML_annotated,0.0,1.0,0.2
12558newsML_annotated,0.25,1.0,0.25
12560newsML_annotated,0.2,1.0,0.2
12570newsML_annotated,0.0,1.0,0.2
12573newsML_annotated,0.0,1.0,0.5
12575newsML_annotated,0.0,1.0,1.0
12576newsML_annotated,0.5,1.0,0.0
12577newsML_annotated,0.0,1.0,0.0
12578newsML_annotated,0.0,1.0,0.3333333333333333
12579newsML_annotated,0.3333333333333333,1.0,0.6666666666666666
12580newsML_annotated,0.0,1.0,0.5
12582newsML_annotated,0.25,1.0,0.25
12583newsML_annotated,0.0,1.0,0.0
12585newsML_annotated,0.0,1.0,0.0
12586newsML_annotated,0.0,1.0,0.5
12587newsML_annotated,0.42857142857142855,1.0,0.7142857142857143
12589newsML_annotated,0.5,1.0,0.5
12590newsML_annotated,0.0,1.0,0.6666666666666666
12591newsML_annotated,0.0,1.0,0.5
12593newsML_annotated,0.0,1.0,0.2
12595newsML_annotated,0.0,1.0,0.0
12596newsML_annotated,0.0,1.0,0.2
12600newsML_annotated,0.0,1.0,0.0
12602newsML_annotated,0.0,1.0,0.2
12603newsML_annotated,0.16666666666666666,1.0,0.0
12605newsML_annotated,0.2,1.0,0.0
12607newsML_annotated,0.0,1.0,0.6666666666666666
12608newsML_annotated,0.0,1.0,0.0
