Ngrams,Class
ended almost,neutral
should be,neutral
rally stalls,neutral
stalls after,neutral
after hitting,neutral
hitting month,neutral
paves the,neutral
the way,neutral
way for,neutral
for the,neutral
set to,neutral
joins other,neutral
other pop,neutral
pop culture,neutral
ended little,neutral
offer internet,neutral
keep interest,neutral
interest rates,neutral
ought to,neutral
to at,neutral
at least,neutral
holding u,neutral
u s,neutral
interest rates,neutral
keep rates,neutral
plans to,neutral
ended up,neutral
up in,neutral
in slow,neutral
gave its,neutral
its tentative,neutral
a holding,neutral
keep a,neutral
achieve break,neutral
break even,neutral
approved a,neutral
closed mixed,mixed
mixed against,mixed
against major,mixed
the breadth,positive
breadth of,positive
of the,positive
little slowing,positive
staged a,positive
a broad,positive
broad based,positive
headed into,positive
into the,positive
the second,positive
second half,positive
half of,positive
of the,positive
the year,positive
year on,positive
on a,positive
a much,positive
much stronger,positive
stronger note,positive
third record,positive
after overcoming,positive
overcoming jitters,positive
jitters from,positive
from unexpectedly,positive
unexpectedly strong,positive
strong u,positive
u s,positive
powered to,positive
to a,positive
a new,positive
orders up,positive
posted broad,positive
broad based,positive
led by,positive
by a,positive
a jump,positive
jump in,positive
much more,positive
more robust,positive
second big,positive
rebound from,positive
from the,positive
the year,positive
year s,positive
s low,positive
low to,positive
to its,positive
gains on,positive
on talk,positive
talk of,positive
of internet,positive
internet via,positive
via tv,positive
beating the,positive
the previous,positive
opens up,positive
up at,positive
at new,positive
new trading,positive
trading peak,positive
advanced to,positive
to a,positive
a new,positive
press ahead,positive
ahead with,positive
run to,positive
to the,positive
the safety,positive
safety of,positive
of companies,positive
companies with,positive
with proven,positive
came within,positive
within a,positive
a skip,positive
skip and,positive
and a,positive
a jump,positive
jump of,positive
of its,positive
its all,positive
slipped on,positive
on profit,positive
propped up,positive
up by,positive
by rising,positive
rising demand,positive
demand for,positive
setting record,positive
a rise,positive
rise of,positive
stronger than,positive
than expected,positive
expected u,positive
u s,positive
shows the,positive
the level,positive
level of,positive
close to,positive
to its,positive
its highest,positive
setting record,positive
all reaching,positive
reaching new,positive
ruled in,positive
improve the,positive
perfect lightening,positive
reach hamlet,positive
hamlet cup,positive
clocked a,positive
a best,positive
best time,positive
time of,positive
of one,positive
one minute,positive
advanced to,positive
to the,positive
good match,positive
match for,positive
for me,positive
me and,positive
and a,positive
a good,positive
scoring the,positive
the biggest,positive
giving them,positive
them a,positive
could go,positive
thrust essex,positive
essex on,positive
on course,positive
course for,positive
went past,positive
past his,positive
his previous,positive
previous test,positive
keeps pakistan,positive
pakistan on,positive
looks well,positive
win gave,positive
gave the,positive
the all,positive
all blacks,positive
blacks an,positive
knocking three,positive
