Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
ended almost unchanged,false,0,0,1,neutral
should be stable,false,0,0,0,neutral
rally stalls after,false,0,0,0,neutral
stalls after hitting,false,0,0,0,neutral
after hitting month,false,0,0,0,neutral
paves the way,false,0,0,0,neutral
the way for,false,0,0,0,neutral
way for the,false,0,0,0,neutral
set to acquire,false,0,0,0,neutral
joins other pop,false,0,0,1,neutral
other pop culture,false,0,0,1,neutral
pop culture companies,false,0,0,1,neutral
ended little changed,false,0,0,1,neutral
offer internet access,false,0,0,0,neutral
keep interest rates,false,0,1,1,neutral
interest rates steady,false,0,1,1,neutral
credits  aimed,false,0,0,0,neutral
ought to at,false,0,0,0,neutral
to at least,false,0,0,0,neutral
at least match,false,0,0,0,neutral
holding u s,false,0,1,0,neutral
s  interest,false,0,1,0,neutral
interest rates steady,false,0,1,0,neutral
keep rates steady,false,0,0,2,neutral
plans to open,false,0,0,0,neutral
ended up in,false,0,0,1,neutral
up in slow,false,0,0,1,neutral
in slow trading,false,0,0,1,neutral
gave its tentative,false,0,0,1,neutral
its tentative approval,false,0,0,1,neutral
a holding pattern,false,0,0,0,neutral
keep a rein,false,0,0,1,neutral
achieve break even,false,0,0,1,neutral
break even point,false,0,0,1,neutral
approved a merger,false,0,0,0,neutral
closed mixed against,false,0,0,0,mixed
mixed against major,false,0,0,0,mixed
against major currencies,false,0,0,0,mixed
the breadth of,false,0,0,0,positive
breadth of the,false,0,0,0,positive
of the increase,false,0,0,0,positive
little slowing seen,false,0,0,1,positive
staged a broad,false,0,0,0,positive
a broad based,false,0,0,0,positive
broad based surge,false,0,0,0,positive
headed into the,true,0,0,0,positive
into the second,true,0,0,0,positive
the second half,true,0,0,0,positive
second half of,true,0,0,0,positive
half of the,true,0,0,0,positive
of the year,true,0,0,0,positive
the year on,true,0,0,0,positive
year on a,true,0,0,0,positive
on a much,true,0,0,0,positive
a much stronger,true,0,0,0,positive
third record close,false,0,0,0,positive
after overcoming jitters,false,0,0,1,positive
overcoming jitters from,false,0,0,1,positive
jitters from unexpectedly,false,0,0,1,positive
from unexpectedly strong,false,0,0,1,positive
unexpectedly strong u,false,0,0,1,positive
strong u s,false,0,0,1,positive
s  sales,false,0,0,1,positive
powered to a,false,0,0,0,positive
to a new,false,0,0,0,positive
a new peak,false,0,0,0,positive
orders up strongly,false,0,0,0,positive
posted broad based,false,0,0,0,positive
broad based gains,false,0,0,0,positive
led by a,false,0,0,0,positive
by a jump,false,0,0,0,positive
a jump in,false,0,0,0,positive
much more robust,false,0,0,1,positive
more robust increase,false,0,0,1,positive
second big increase,false,0,0,0,positive
rebound from the,false,0,0,1,positive
from the year,false,0,0,1,positive
the year s,false,0,0,1,positive
year s low,false,0,0,1,positive
s low to,false,0,0,1,positive
low to its,false,0,0,1,positive
gains on talk,false,0,0,0,positive
on talk of,false,0,0,0,positive
talk of internet,false,0,0,0,positive
of internet via,false,0,0,0,positive
internet via tv,false,0,0,0,positive
beating the previous,false,0,0,1,positive
the previous trading,false,0,0,1,positive
opens up at,false,0,0,0,positive
up at new,false,0,0,0,positive
at new trading,false,0,0,0,positive
new trading peak,false,0,0,0,positive
advanced to a,false,0,0,0,positive
to a new,false,0,0,0,positive
a new peak,false,0,0,0,positive
press ahead with,false,0,0,0,positive
ahead with strike,false,0,0,0,positive
run to the,false,0,0,1,positive
to the safety,false,0,0,1,positive
the safety of,false,0,0,1,positive
safety of companies,false,0,0,1,positive
of companies with,false,0,0,1,positive
companies with proven,false,0,0,1,positive
came within a,false,0,0,0,positive
within a skip,false,0,0,0,positive
a skip and,false,0,0,0,positive
skip and a,false,0,0,0,positive
and a jump,false,0,0,0,positive
a jump of,false,0,0,0,positive
jump of its,false,0,0,0,positive
of its all,false,0,0,0,positive
slipped on profit,false,0,0,0,positive
on profit taking,false,0,0,0,positive
propped up by,false,0,0,0,positive
up by rising,false,0,0,0,positive
by rising demand,false,0,0,0,positive
rising demand for,false,0,0,0,positive
setting record highs,false,0,0,0,positive
a rise of,false,0,0,0,positive
of  points,false,0,0,0,positive
stronger than expected,false,0,0,0,positive
than expected u,false,0,0,0,positive
expected u s,false,0,0,0,positive
s  data,false,0,0,0,positive
shows the level,false,0,0,0,positive
the level of,false,0,0,0,positive
level of confidence,false,0,0,0,positive
close to its,false,0,0,0,positive
to its highest,false,0,0,0,positive
its highest level,false,0,0,0,positive
setting record highs,false,0,0,0,positive
all reaching new,false,0,0,0,positive
reaching new highs,false,0,0,0,positive
ruled in favor,false,0,0,0,positive
improve the quality,false,0,1,0,positive
perfect lightening rod,false,0,1,0,positive
rose  percent,false,0,0,0,positive
reach hamlet cup,false,0,0,1,positive
hamlet cup finals,false,0,0,1,positive
clocked a best,false,0,1,0,positive
a best time,false,0,1,0,positive
best time of,false,0,1,0,positive
time of one,false,0,1,0,positive
of one minute,false,0,1,0,positive
minute  seconds,false,0,1,0,positive
advanced to the,false,0,0,0,positive
to the semifinals,false,0,0,0,positive
good match for,false,0,2,0,positive
match for me,false,0,2,0,positive
for me and,false,0,2,0,positive
me and a,false,0,2,0,positive
and a good,false,0,2,0,positive
scoring the biggest,false,0,0,0,positive
the biggest victory,false,0,0,0,positive
giving them a,false,0,0,0,positive
them a lead,false,0,0,0,positive
could go top,false,0,0,0,positive
thrust essex on,false,0,0,1,positive
essex on course,false,0,0,1,positive
on course for,false,0,0,1,positive
went past his,false,0,1,1,positive
past his previous,false,0,1,1,positive
his previous test,false,0,1,1,positive
keeps pakistan on,false,0,0,0,positive
pakistan on top,false,0,0,0,positive
looks well capable,false,0,1,0,positive
win gave the,false,0,0,1,positive
gave the all,false,0,0,1,positive
the all blacks,false,0,0,1,positive
all blacks an,false,0,0,1,positive
knocking three days,true,0,0,0,positive
three days off,true,0,0,0,positive
greatest accomplishment in,false,0,1,0,positive
accomplishment in sailing,false,0,1,0,positive
great personal satisfaction,false,0,1,0,positive
opens at top,false,0,0,0,positive
at top of,false,0,0,0,positive
