monthly,monthli,NA,NA,mixed-uncertain
trade,monthli,NA,NA,mixed-uncertain
report,monthli,NA,NA,mixed-uncertain
commerce,monthli,NA,NA,mixed-uncertain
pegged,monthli,NA,NA,mixed-uncertain
farm,monthli,NA,NA,mixed-uncertain
exports,monthli,NA,NA,mixed-uncertain
billion,monthli,NA,NA,mixed-uncertain
june,monthli,NA,NA,mixed-uncertain
down,monthli,NA,NA,mixed-uncertain
from,monthli,NA,NA,mixed-uncertain
billion,monthli,NA,NA,mixed-uncertain
traders,second,good,NA,mixed
said,second,good,NA,mixed
fact,second,good,NA,mixed
that,second,good,NA,mixed
stocks,second,good,NA,mixed
bottomed,second,good,NA,mixed
second,second,good,NA,mixed
resistance,second,good,NA,mixed
level,second,good,NA,mixed
points,second,good,NA,mixed
rebounded,second,good,NA,mixed
good,second,good,NA,mixed
sign,second,good,NA,mixed
that,second,good,NA,mixed
stocks,second,good,NA,mixed
consolidating,second,good,NA,mixed
preparation,second,good,NA,mixed
rise,second,good,NA,mixed
again,second,good,NA,mixed
what,shortest,industri,high,mixed
down,shortest,industri,high,mixed
record,shortest,industri,high,mixed
shortest,shortest,industri,high,mixed
market,shortest,industri,high,mixed
correction,shortest,industri,high,mixed
ever,shortest,industri,high,mixed
jones,shortest,industri,high,mixed
industrial,shortest,industri,high,mixed
average,shortest,industri,high,mixed
this,shortest,industri,high,mixed
week,shortest,industri,high,mixed
came,shortest,industri,high,mixed
within,shortest,industri,high,mixed
skip,shortest,industri,high,mixed
jump,shortest,industri,high,mixed
time,shortest,industri,high,mixed
high,shortest,industri,high,mixed
after,shortest,industri,high,mixed
plunging,shortest,industri,high,mixed
late,shortest,industri,high,mixed
july,shortest,industri,high,mixed
bourse,last,NA,NA,mixed
trade,last,NA,NA,mixed
index,last,NA,NA,mixed
down,last,NA,NA,mixed
points,last,NA,NA,mixed
points,last,NA,NA,mixed
from,last,NA,NA,mixed
last,last,NA,NA,mixed
week,last,NA,NA,mixed
demand,other,dull,NA,mixed
other,other,dull,NA,mixed
commodities,other,dull,NA,mixed
dull,other,dull,NA,mixed
trade,other,dull,NA,mixed
world,dull,crude,highest,mixed
commodity,dull,crude,highest,mixed
prices,dull,crude,highest,mixed
mostly,dull,crude,highest,mixed
ended,dull,crude,highest,mixed
dull,dull,crude,highest,mixed
week,dull,crude,highest,mixed
little,dull,crude,highest,mixed
changed,dull,crude,highest,mixed
friday,dull,crude,highest,mixed
with,dull,crude,highest,mixed
crude,dull,crude,highest,mixed
close,dull,crude,highest,mixed
highest,dull,crude,highest,mixed
level,dull,crude,highest,mixed
four,dull,crude,highest,mixed
months,dull,crude,highest,mixed
signs,dull,crude,highest,mixed
firm,dull,crude,highest,mixed
demand,dull,crude,highest,mixed
bourse,last,NA,NA,mixed
trade,last,NA,NA,mixed
index,last,NA,NA,mixed
down,last,NA,NA,mixed
points,last,NA,NA,mixed
points,last,NA,NA,mixed
from,last,NA,NA,mixed
last,last,NA,NA,mixed
week,last,NA,NA,mixed
scott,th,finalist,NA,mixed
down,th,finalist,NA,mixed
hole,th,finalist,NA,mixed
rallied,th,finalist,NA,mixed
beat,th,finalist,NA,mixed
finalist,th,finalist,NA,mixed
buddy,th,finalist,NA,mixed
marucci,th,finalist,NA,mixed
year,old,biggest,aggress,mixed
kucera,old,biggest,aggress,mixed
scoring,old,biggest,aggress,mixed
biggest,old,biggest,aggress,mixed
victory,old,biggest,aggress,mixed
seven,old,biggest,aggress,mixed
year,old,biggest,aggress,mixed
career,old,biggest,aggress,mixed
tour,old,biggest,aggress,mixed
produced,old,biggest,aggress,mixed
aggressive,old,biggest,aggress,mixed
service,consist,errat,NA,mixed
consistent,consist,errat,NA,mixed
ground,consist,errat,NA,mixed
strokes,consist,errat,NA,mixed
while,consist,errat,NA,mixed
chang,consist,errat,NA,mixed
uncharacteristically,consist,errat,NA,mixed
erratic,consist,errat,NA,mixed
monday,gener,blue,select,mixed
general,gener,blue,select,mixed
index,gener,blue,select,mixed
rose,gener,blue,select,mixed
percent,gener,blue,select,mixed
points,gener,blue,select,mixed
while,gener,blue,select,mixed
blue,gener,blue,select,mixed
chip,gener,blue,select,mixed
selective,gener,blue,select,mixed
index,gener,blue,select,mixed
fell,gener,blue,select,mixed
percent,gener,blue,select,mixed
existing,NA,NA,NA,mixed
home,NA,NA,NA,mixed
sales,NA,NA,NA,mixed
peaked,NA,NA,NA,mixed
record,NA,NA,NA,mixed
rate,NA,NA,NA,mixed
million,NA,NA,NA,mixed
year,NA,NA,NA,mixed
before,NA,NA,NA,mixed
starting,NA,NA,NA,mixed
lose,NA,NA,NA,mixed
momentum,NA,NA,NA,mixed
june,NA,NA,NA,mixed
july,NA,NA,NA,mixed
carrier,first,better,NA,mixed
posted,first,better,NA,mixed
profit,first,better,NA,mixed
million,first,better,NA,mixed
marks,first,better,NA,mixed
first,first,better,NA,mixed
months,first,better,NA,mixed
sharply,first,better,NA,mixed
