mixed,NA,NA,NA,mixed
closed,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
closed,major,NA,NA,mixed
mixed,major,NA,NA,mixed
against,major,NA,NA,mixed
major,major,NA,NA,mixed
currencies,major,NA,NA,mixed
ended,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
mixed,NA,NA,NA,mixed
mixed,mix,NA,NA,mixed
signals,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
mixed,mix,NA,NA,mixed
signals,mix,NA,NA,mixed
fell,NA,NA,NA,negative-uncertain
slightly,NA,NA,NA,negative-uncertain
raise,minimum,NA,NA,negative-uncertain
prices,minimum,NA,NA,negative-uncertain
after,minimum,NA,NA,negative-uncertain
minimum,minimum,NA,NA,negative-uncertain
wage,minimum,NA,NA,negative-uncertain
hike,minimum,NA,NA,negative-uncertain
percent,NA,NA,NA,negative
fall,NA,NA,NA,negative
percent,NA,NA,NA,negative
decrease,NA,NA,NA,negative
fading,NA,NA,NA,negative
outlook,gloomi,NA,NA,negative
gloomy,gloomi,NA,NA,negative
disappointing,disappoint,gener,lifeless,negative
general,disappoint,gener,lifeless,negative
feeling,disappoint,gener,lifeless,negative
that,disappoint,gener,lifeless,negative
will,disappoint,gener,lifeless,negative
remain,disappoint,gener,lifeless,negative
lifeless,disappoint,gener,lifeless,negative
failed,meaning,larger,unlik,negative
gain,meaning,larger,unlik,negative
meaningful,meaning,larger,unlik,negative
momentum,meaning,larger,unlik,negative
back,meaning,larger,unlik,negative
bundebanks,meaning,larger,unlik,negative
larger,meaning,larger,unlik,negative
than,meaning,larger,unlik,negative
expected,meaning,larger,unlik,negative
rate,meaning,larger,unlik,negative
unlikely,meaning,larger,unlik,negative
near,meaning,larger,unlik,negative
future,meaning,larger,unlik,negative
short,short,much,NA,negative
term,short,much,NA,negative
risks,short,much,NA,negative
very,short,much,NA,negative
much,short,much,NA,negative
skewed,short,much,NA,negative
downside,short,much,NA,negative
pressed,NA,NA,NA,negative
with,NA,NA,NA,negative
strike,NA,NA,NA,negative
sued,NA,NA,NA,negative
alleged,NA,NA,NA,negative
caused,seriou,NA,NA,negative
serious,seriou,NA,NA,negative
damage,seriou,NA,NA,negative
steam,NA,NA,NA,negative
fell,NA,NA,NA,negative
very,weak,NA,NA,negative
weak,weak,NA,NA,negative
bottomed,NA,NA,NA,negative
tumble,NA,NA,NA,negative
delayed,NA,NA,NA,negative
block,NA,NA,NA,negative
indicted,huge,NA,NA,negative
huge,huge,NA,NA,negative
pyramid,huge,NA,NA,negative
scheme,huge,NA,NA,negative
fraud,huge,NA,NA,negative
indicted,NA,NA,NA,negative
seized,NA,NA,NA,negative
indictment,NA,NA,NA,negative
alleged,NA,NA,NA,negative
snub,NA,NA,NA,negative
seemed,unreadi,NA,NA,negative
unready,unreadi,NA,NA,negative
burnt,recent,small,NA,negative
recent,recent,small,NA,negative
rout,recent,small,NA,negative
small,recent,small,NA,negative
stocks,recent,small,NA,negative
down,NA,NA,NA,negative
record,NA,NA,NA,negative
fall,NA,NA,NA,negative
sharply,NA,NA,NA,negative
hammering,NA,NA,NA,negative
down,NA,NA,NA,negative
falls,NA,NA,NA,negative
down,NA,NA,NA,negative
stagnant,stagnant,NA,NA,negative
summer,higher,near,NA,negative
lethargy,higher,near,NA,negative
should,higher,near,NA,negative
prevent,higher,near,NA,negative
them,higher,near,NA,negative
breaking,higher,near,NA,negative
higher,higher,near,NA,negative
near,higher,near,NA,negative
term,higher,near,NA,negative
could,NA,NA,NA,negative
find,NA,NA,NA,negative
direction,NA,NA,NA,negative
down,NA,NA,NA,negative
growing,NA,NA,NA,negative
dependence,NA,NA,NA,negative
propose,NA,NA,NA,negative
expelling,NA,NA,NA,negative
have,NA,NA,NA,negative
almost,NA,NA,NA,negative
made,NA,NA,NA,negative
nigeria,NA,NA,NA,negative
laughing,NA,NA,NA,negative
stock,NA,NA,NA,negative
tough,tough,NA,NA,negative
line,tough,NA,NA,negative
tough,tough,NA,NA,negative
line,tough,NA,NA,negative
cheating,right,NA,NA,negative
rightful,right,NA,NA,negative
share,right,NA,NA,negative
wealth,right,NA,NA,negative
getting,fair,NA,NA,negative
their,fair,NA,NA,negative
fair,fair,NA,NA,negative
share,fair,NA,NA,negative
left,NA,NA,NA,negative
disappointed,NA,NA,NA,negative
failed,NA,NA,NA,negative
appear,NA,NA,NA,negative
sparked,NA,NA,NA,negative
fears,NA,NA,NA,negative
suffer,NA,NA,NA,negative
uncertain,uncertain,NA,NA,negative
week,uncertain,NA,NA,negative
dull,dull,NA,NA,negative
trade,dull,NA,NA,negative
ended,dull,NA,NA,negative
dull,dull,NA,NA,negative
week,dull,NA,NA,negative
defying,NA,NA,NA,negative
expectations,NA,NA,NA,negative
down,NA,NA,NA,negative
boycott,NA,NA,NA,negative
boycotted,NA,NA,NA,negative
cursed,NA,NA,NA,negative
joined,NA,NA,NA,negative
argument,NA,NA,NA,negative
rules,NA,NA,NA,negative
against,NA,NA,NA,negative
contending,addict,NA,NA,negative
that,addict,NA,NA,negative
tobacco,addict,NA,NA,negative
industry,addict,NA,NA,negative
peddled,addict,NA,NA,negative
addictive,addict,NA,NA,negative
product,addict,NA,NA,negative
that,addict,NA,NA,negative
caused,addict,NA,NA,negative
rogers,addict,NA,NA,negative
cancer,addict,NA,NA,negative
wins,littl,NA,NA,negative
little,littl,NA,NA,negative
sympathy,littl,NA,NA,negative
received,frosti,NA,NA,negative
frosty,frosti,NA,NA,negative
response,frosti,NA,NA,negative
reluctant,reluct,NA,NA,negative
endorse,reluct,NA,NA,negative
burdened,NA,NA,NA,negative
miscellaneous,miscellan,NA,NA,negative
charges,miscellan,NA,NA,negative
have,miscellan,NA,NA,negative
complaints,miscellan,NA,NA,negative
stemmed,NA,NA,NA,negative
well,NA,NA,NA,negative
below,NA,NA,NA,negative
prediction,NA,NA,NA,negative
warns,NA,NA,NA,negative
against,NA,NA,NA,negative
warned,NA,NA,NA,negative
against,NA,NA,NA,negative
pressure,NA,NA,NA,negative
flare,new,NA,NA,negative
taiwan,new,NA,NA,negative
strait,new,NA,NA,negative
prejudicial,prejudici,NA,NA,negative
tumble,NA,NA,NA,negative
pressure,NA,NA,NA,negative
mounting,NA,NA,NA,negative
lagged,NA,NA,NA,negative
suffered,NA,NA,NA,negative
estimated,NA,NA,NA,negative
million,NA,NA,NA,negative
ringgit,NA,NA,NA,negative
losses,NA,NA,NA,negative
from,NA,NA,NA,negative
