Unigrams,Negation,Contrast,Positive entities,Negative entities,Class
sayansk,false,No,0,0,neutral
aluminium,false,No,0,0,neutral
chief,false,No,0,0,neutral
execut,false,No,0,0,neutral
oleg,false,No,0,0,neutral
deripaska,false,No,0,0,neutral
said,false,No,0,0,neutral
fridai,false,No,0,0,neutral
primari,false,No,0,0,neutral
aluminium,false,No,0,0,neutral
output,false,No,0,0,neutral
would,false,No,0,0,neutral
tonn,false,No,0,0,neutral
anoth,true,No,1,1,neutral
senior,true,No,1,1,neutral
offici,true,No,1,1,neutral
said,true,No,1,1,neutral
plant,true,No,1,1,neutral
work,true,No,1,1,neutral
percent,true,No,1,1,neutral
capac,true,No,1,1,neutral
would,true,No,1,1,neutral
continu,true,No,1,1,neutral
compani,true,Yes,0,2,neutral
plan,true,Yes,0,2,neutral
increas,true,Yes,0,2,neutral
aluminium,true,Yes,0,2,neutral
output,true,Yes,0,2,neutral
near,true,Yes,0,2,neutral
futur,true,Yes,0,2,neutral
tonn,true,Yes,0,2,neutral
year,true,Yes,0,2,neutral
compani,true,Yes,0,2,neutral
statement,true,Yes,0,2,neutral
said,true,Yes,0,2,neutral
give,true,Yes,0,2,neutral
exact,true,Yes,0,2,neutral
timefram,true,Yes,0,2,neutral
deripaska,false,No,0,3,neutral
said,false,No,0,3,neutral
entir,false,No,0,3,neutral
programm,false,No,0,3,neutral
would,false,No,0,3,neutral
cost,false,No,0,3,neutral
million,false,No,0,3,neutral
smelter,false,No,0,3,neutral
million,false,No,0,3,neutral
addit,false,No,0,3,neutral
plant,false,No,0,3,neutral
upgrad,false,No,0,3,neutral
which,false,No,0,3,neutral
compani,false,No,0,3,neutral
offici,false,No,0,3,neutral
thei,false,No,0,3,neutral
expect,false,No,0,3,neutral
financ,false,No,0,3,neutral
with,false,No,0,3,neutral
combin,false,No,0,3,neutral
privat,false,No,0,3,neutral
investor,false,No,0,3,neutral
commerci,false,No,0,3,neutral
bank,false,No,0,3,neutral
world,false,No,0,3,neutral
bank,false,No,0,3,neutral
invest,false,No,0,3,neutral
credit,false,No,0,3,neutral
sayansk,false,No,0,0,neutral
aluminium,false,No,0,0,neutral
output,false,No,0,0,neutral
tonn,false,No,0,0,neutral
india,false,No,0,0,neutral
polic,false,No,0,0,neutral
raid,false,No,0,0,neutral
tycoon,false,No,0,0,neutral
home,false,No,0,0,neutral
phone,false,No,0,0,neutral
scandal,false,No,0,0,neutral
indian,false,No,0,0,neutral
polic,false,No,0,0,neutral
said,false,No,0,0,neutral
fridai,false,No,0,0,neutral
thei,false,No,0,0,neutral
raid,false,No,0,0,neutral
home,false,No,0,0,neutral
compani,false,No,0,0,neutral
execut,false,No,0,0,neutral
whose,false,No,0,0,neutral
firm,false,No,0,0,neutral
been,false,No,0,0,neutral
link,false,No,0,0,neutral
grow,false,No,0,0,neutral
scandal,false,No,0,0,neutral
involv,false,No,0,0,neutral
privatis,false,No,0,0,neutral
nation,false,No,0,0,neutral
telecommun,false,No,0,0,neutral
sector,false,No,0,0,neutral
raid,false,No,0,1,neutral
follow,false,No,0,1,neutral
search,false,No,0,1,neutral
home,false,No,0,1,neutral
belong,false,No,0,1,neutral
former,false,No,0,1,neutral
commun,false,No,0,1,neutral
minist,false,No,0,1,neutral
sukh,false,No,0,1,neutral
dure,false,No,0,1,neutral
which,false,No,0,1,neutral
polic,false,No,0,1,neutral
seiz,false,No,0,1,neutral
more,false,No,0,1,neutral
than,false,No,0,1,neutral
million,false,No,0,1,neutral
cash,false,No,0,1,neutral
arrest,false,No,0,1,neutral
civil,false,No,0,1,neutral
servant,false,No,0,1,neutral
central,true,No,2,1,neutral
bureau,true,No,2,1,neutral
investig,true,No,2,1,neutral
said,true,No,2,1,neutral
raid,true,No,2,1,neutral
thursdai,true,No,2,1,neutral
home,true,No,2,1,neutral
mahendra,true,No,2,1,neutral
nahata,true,No,2,1,neutral
chairman,true,No,2,1,neutral
himach,true,No,2,1,neutral
futurist,true,No,2,1,neutral
commun,true,No,2,1,neutral
hfcl,true,No,2,1,neutral
littl,true,No,2,1,neutral
known,true,No,2,1,neutral
firm,true,No,2,1,neutral
that,true,No,2,1,neutral
lucr,true,No,2,1,neutral
licenc,true,No,2,1,neutral
earlier,true,No,2,1,neutral
year,true,No,2,1,neutral
search,false,No,0,0,neutral
were,false,No,0,0,neutral
conduct,false,No,0,0,neutral
home,false,No,0,0,neutral
spokesman,false,No,0,0,neutral
khan,false,No,0,0,neutral
told,false,No,0,0,neutral
reuter,false,No,0,0,neutral
some,false,No,0,0,neutral
document,false,No,0,0,neutral
were,false,No,0,0,neutral
seiz,false,No,0,0,neutral
scrutinis,false,No,0,0,neutral
focu,false,No,0,0,neutral
good,false,No,0,0,neutral
data,false,No,0,0,neutral
weigh,false,No,0,0,neutral
european,false,No,0,0,neutral
stock,false,No,0,0,neutral
