Unigrams,Adjective1,Adjective2,Adjective3,Class
sayansk,primari,NA,NA,neutral
aluminium,primari,NA,NA,neutral
chief,primari,NA,NA,neutral
executive,primari,NA,NA,neutral
oleg,primari,NA,NA,neutral
deripaska,primari,NA,NA,neutral
said,primari,NA,NA,neutral
friday,primari,NA,NA,neutral
primary,primari,NA,NA,neutral
aluminium,primari,NA,NA,neutral
output,primari,NA,NA,neutral
would,primari,NA,NA,neutral
tonnes,primari,NA,NA,neutral
another,senior,NA,NA,neutral
senior,senior,NA,NA,neutral
official,senior,NA,NA,neutral
said,senior,NA,NA,neutral
plant,senior,NA,NA,neutral
working,senior,NA,NA,neutral
percent,senior,NA,NA,neutral
capacity,senior,NA,NA,neutral
would,senior,NA,NA,neutral
continue,senior,NA,NA,neutral
company,near,exact,NA,neutral
plans,near,exact,NA,neutral
increase,near,exact,NA,neutral
aluminium,near,exact,NA,neutral
output,near,exact,NA,neutral
near,near,exact,NA,neutral
future,near,exact,NA,neutral
tonnes,near,exact,NA,neutral
year,near,exact,NA,neutral
company,near,exact,NA,neutral
statement,near,exact,NA,neutral
said,near,exact,NA,neutral
give,near,exact,NA,neutral
exact,near,exact,NA,neutral
timeframe,near,exact,NA,neutral
deripaska,entir,addit,privat,neutral
said,entir,addit,privat,neutral
entire,entir,addit,privat,neutral
programme,entir,addit,privat,neutral
would,entir,addit,privat,neutral
cost,entir,addit,privat,neutral
million,entir,addit,privat,neutral
smelters,entir,addit,privat,neutral
million,entir,addit,privat,neutral
additional,entir,addit,privat,neutral
plant,entir,addit,privat,neutral
upgrades,entir,addit,privat,neutral
which,entir,addit,privat,neutral
company,entir,addit,privat,neutral
officials,entir,addit,privat,neutral
they,entir,addit,privat,neutral
expect,entir,addit,privat,neutral
finance,entir,addit,privat,neutral
with,entir,addit,privat,neutral
combination,entir,addit,privat,neutral
private,entir,addit,privat,neutral
investor,entir,addit,privat,neutral
commercial,entir,addit,privat,neutral
bank,entir,addit,privat,neutral
world,entir,addit,privat,neutral
bank,entir,addit,privat,neutral
investments,entir,addit,privat,neutral
credits,entir,addit,privat,neutral
sayansk,NA,NA,NA,neutral
aluminium,NA,NA,NA,neutral
sees,NA,NA,NA,neutral
output,NA,NA,NA,neutral
tonnes,NA,NA,NA,neutral
india,NA,NA,NA,neutral
police,NA,NA,NA,neutral
raid,NA,NA,NA,neutral
tycoons,NA,NA,NA,neutral
home,NA,NA,NA,neutral
phone,NA,NA,NA,neutral
scandal,NA,NA,NA,neutral
indian,indian,nation,NA,neutral
police,indian,nation,NA,neutral
said,indian,nation,NA,neutral
friday,indian,nation,NA,neutral
they,indian,nation,NA,neutral
raided,indian,nation,NA,neutral
home,indian,nation,NA,neutral
company,indian,nation,NA,neutral
executive,indian,nation,NA,neutral
whose,indian,nation,NA,neutral
firm,indian,nation,NA,neutral
been,indian,nation,NA,neutral
linked,indian,nation,NA,neutral
growing,indian,nation,NA,neutral
scandal,indian,nation,NA,neutral
involving,indian,nation,NA,neutral
privatisation,indian,nation,NA,neutral
nations,indian,nation,NA,neutral
telecommunications,indian,nation,NA,neutral
sector,indian,nation,NA,neutral
raid,former,more,civil,neutral
followed,former,more,civil,neutral
search,former,more,civil,neutral
homes,former,more,civil,neutral
belonging,former,more,civil,neutral
former,former,more,civil,neutral
communications,former,more,civil,neutral
minister,former,more,civil,neutral
sukh,former,more,civil,neutral
during,former,more,civil,neutral
which,former,more,civil,neutral
police,former,more,civil,neutral
