Unigrams,Negation,Contrast,Positive entities,Negative entities,Class
almost,false,No,0,1,neutral
unchang,false,No,0,1,neutral
keep,false,No,0,1,neutral
almost,false,No,0,1,neutral
unchang,false,No,0,1,neutral
close,false,No,1,0,neutral
steadi,false,No,1,0,neutral
unchang,false,No,0,1,neutral
unchang,false,No,0,1,neutral
unchang,false,No,0,1,neutral
beat,false,No,0,0,neutral
should,false,No,0,0,neutral
stabl,false,No,0,0,neutral
unchang,false,No,0,1,neutral
launch,false,No,0,0,neutral
unchang,false,No,0,1,neutral
name,false,No,0,0,neutral
name,false,No,0,0,neutral
propos,false,No,0,0,neutral
ralli,false,No,0,0,neutral
stall,false,No,0,0,neutral
after,false,No,0,0,neutral
month,false,No,0,0,neutral
high,false,No,0,0,neutral
launch,false,No,0,0,neutral
pave,false,No,0,0,neutral
shift,false,No,0,0,neutral
remark,false,No,0,1,neutral
steadi,false,No,0,1,neutral
unveil,false,No,0,0,neutral
heavili,false,No,0,0,neutral
specul,false,No,0,0,neutral
acquir,false,No,0,0,neutral
stabl,false,No,0,0,neutral
unchang,false,No,0,1,neutral
closer,false,No,0,0,neutral
announc,true,No,0,0,neutral
join,false,No,0,1,neutral
other,false,No,0,1,neutral
cultur,false,No,0,1,neutral
compani,false,No,0,1,neutral
festoon,false,No,0,0,neutral
team,false,No,0,0,neutral
littl,false,No,0,1,neutral
chang,false,No,0,1,neutral
offer,false,No,0,0,neutral
internet,false,No,0,0,neutral
access,false,No,0,0,neutral
unchang,false,No,0,1,neutral
unchang,false,No,0,1,neutral
keep,false,No,1,1,neutral
interest,false,No,1,1,neutral
rate,false,No,1,1,neutral
steadi,false,No,1,1,neutral
credit,false,No,0,0,neutral
ought,false,No,0,0,neutral
least,false,No,0,0,neutral
match,false,No,0,0,neutral
resum,false,No,0,0,neutral
anxious,false,No,0,0,neutral
await,false,No,0,0,neutral
hold,false,No,1,0,neutral
interest,false,No,1,0,neutral
rate,false,No,1,0,neutral
steadi,false,No,1,0,neutral
keep,false,No,0,2,neutral
rate,false,No,0,2,neutral
steadi,false,No,0,2,neutral
plan,false,No,0,0,neutral
open,false,No,0,0,neutral
affirm,false,No,0,0,neutral
confirm,false,No,0,0,neutral
join,false,No,0,0,neutral
outlin,false,No,0,0,neutral
steadi,false,No,0,1,neutral
chang,true,No,0,0,neutral
steadi,false,No,0,1,neutral
steadi,false,No,0,1,neutral
name,false,No,0,0,neutral
sign,false,No,0,0,neutral
vanish,false,No,0,1,neutral
build,false,No,0,0,neutral
push,false,No,0,0,neutral
plan,false,No,0,0,neutral
take,false,No,0,0,neutral
take,false,No,0,0,neutral
reli,false,No,1,0,neutral
suggest,false,No,0,0,neutral
slow,false,No,0,1,neutral
trade,false,No,0,1,neutral
flat,false,No,0,1,neutral
sport,false,No,0,0,neutral
appear,false,No,0,0,neutral
embark,false,No,0,0,neutral
unaffect,false,No,0,0,neutral
spin,false,No,0,1,neutral
sign,false,No,0,0,neutral
take,false,No,0,0,neutral
purchas,false,No,0,0,neutral
gave,false,No,0,1,neutral
tent,false,No,0,1,neutral
approv,false,No,0,1,neutral
take,false,No,0,0,neutral
stand,false,No,0,0,neutral
report,false,No,0,0,neutral
unchang,false,No,0,1,neutral
unchang,false,No,0,1,neutral
unchang,false,No,0,1,neutral
plan,false,No,0,0,neutral
unchang,false,No,0,1,neutral
offer,false,No,0,0,neutral
unchang,false,No,0,1,neutral
oper,false,No,0,0,neutral
provid,false,No,0,0,neutral
littl,false,No,0,1,neutral
chang,false,No,0,1,neutral
steadi,false,No,0,1,neutral
unchang,false,No,0,1,neutral
seen,false,No,0,1,neutral
steadi,false,No,0,1,neutral
hold,false,No,0,0,neutral
pattern,false,No,0,0,neutral
steadi,false,No,0,1,neutral
steadi,false,No,0,1,neutral
chang,true,No,0,0,neutral
averag,false,No,0,0,neutral
quit,false,No,1,1,neutral
have,false,No,0,0,neutral-uncertain
press,false,No,0,0,neutral-uncertain
discount,false,No,0,0,neutral-uncertain
agre,false,No,0,0,neutral-uncertain
close,false,No,0,1,mixed
close,false,No,0,0,mixed
against,false,No,0,0,mixed
major,false,No,0,0,mixed
currenc,false,No,0,0,mixed
signal,false,No,0,1,mixed
breadth,false,No,0,0,positive
increas,false,No,0,0,positive
littl,false,No,0,1,positive
slow,false,No,0,1,positive
seen,false,No,0,1,positive
stage,false,No,0,0,positive
broad,false,No,0,0,positive
base,false,No,0,0,positive
surg,false,No,0,0,positive
climb,false,No,0,0,positive
increas,false,No,0,0,positive
head,true,No,0,0,positive
into,true,No,0,0,positive
second,true,No,0,0,positive
half,true,No,0,0,positive
year,true,No,0,0,positive
much,true,No,0,0,positive
stronger,true,No,0,0,positive
