Unigrams,Adjective1,Adjective2,Adjective3,Class
ended,unchang,NA,NA,neutral
almost,unchang,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
keep,NA,NA,NA,neutral
almost,unchang,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
close,NA,NA,NA,neutral
steady,NA,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
beat,NA,NA,NA,neutral
should,stabl,NA,NA,neutral
stable,stabl,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
launches,NA,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
names,NA,NA,NA,neutral
named,NA,NA,NA,neutral
proposes,NA,NA,NA,neutral
rally,high,NA,NA,neutral
stalls,high,NA,NA,neutral
after,high,NA,NA,neutral
hitting,high,NA,NA,neutral
month,high,NA,NA,neutral
high,high,NA,NA,neutral
launches,NA,NA,NA,neutral
paves,NA,NA,NA,neutral
shift,NA,NA,NA,neutral
remarkably,steadi,NA,NA,neutral
steady,steadi,NA,NA,neutral
unveiled,NA,NA,NA,neutral
heavily,NA,NA,NA,neutral
speculated,NA,NA,NA,neutral
acquire,NA,NA,NA,neutral
stable,NA,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
edged,NA,NA,NA,neutral
closer,NA,NA,NA,neutral
announced,NA,NA,NA,neutral
joins,other,NA,NA,neutral
other,other,NA,NA,neutral
culture,other,NA,NA,neutral
companies,other,NA,NA,neutral
festooned,NA,NA,NA,neutral
teamed,NA,NA,NA,neutral
ended,NA,NA,NA,neutral
little,NA,NA,NA,neutral
changed,NA,NA,NA,neutral
offer,NA,NA,NA,neutral
internet,NA,NA,NA,neutral
access,NA,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
unchanged,unchang,NA,NA,neutral
keep,NA,NA,NA,neutral
interest,NA,NA,NA,neutral
rates,NA,NA,NA,neutral
steady,NA,NA,NA,neutral
credits,NA,NA,NA,neutral
aimed,NA,NA,NA,neutral
ought,least,NA,NA,neutral
least,least,NA,NA,neutral
match,least,NA,NA,neutral
resuming,NA,NA,NA,neutral
anxiously,NA,NA,NA,neutral
awaiting,NA,NA,NA,neutral
holding,u,NA,NA,neutral
interest,u,NA,NA,neutral
rates,u,NA,NA,neutral
steady,u,NA,NA,neutral
keep,steadi,NA,NA,neutral
rates,steadi,NA,NA,neutral
steady,steadi,NA,NA,neutral
plans,NA,NA,NA,neutral
open,NA,NA,NA,neutral
affirms,NA,NA,NA,neutral
confirmed,NA,NA,NA,neutral
joins,NA,NA,NA,neutral
outline,NA,NA,NA,neutral
